Gender,BMCT_tot,MI_avg_amax,MK_avg_amax,ME_avg_amax,mech_int_avg,mech_exp_avg,Mech_SE_avg,Masculinity_avg,Femininity_avg,Gender_Role,ST_Endorse_avg,female_STend_avg,male_STend_avg
0,29,2.75,3.2,3,2.8,3.111111111,3.375,4.45,5.277777778,-0.827777778,1.6,1.6,1.6
0,34,2,1.6,1.6,2,1.555555556,2.375,4.8,5.15,-0.35,3.2,3.2,3.2
0,34,3.5,2.6,2.4,2.8,2.555555556,1,4.8,4.8,0,2.3,2.8,1.8
0,51,3.5,2.6,3,3.4,2.777777778,3.625,4.95,5.15,-0.2,1.4,1.6,1.2
0,38,2,2.2,2.4,2.6,2.222222222,3.125,4.35,5.15,-0.8,3,3.6,2.4
0,43,3,2.6,2.8,2.8,2.555555556,3.75,4.2,5,-0.8,3.3,3.6,3
0,35,2.75,2.4,2,2.6,2,3.625,4.35,4.95,-0.6,3.6,4.2,3
0,46,4,2.8,3.6,3.6,3.222222222,4,4.7,5.4,-0.7,2.3,2.2,2.4
0,46,2,1.8,2.2,2,2,2.125,3.95,3.7,0.25,1.7,1.4,2
0,37,2,2.2,2.2,2,2.222222222,3.875,5.052631579,5.277777778,-0.225146199,3.1,3.2,3
0,24,2,2,2.4,2,2.222222222,3.125,5.444444444,5.65,-0.205555556,2.9,3,2.8
0,42,3.75,2.6,2.6,3.2,2.666666667,4,4.45,5.15,-0.7,3.3,4.2,2.4
0,40,2,2.2,2,2,2.111111111,1.375,5.25,5.35,-0.1,2.3,2.8,1.8
0,40,3.5,3,3.4,3.2,3.222222222,4.25,5.75,5.2,0.55,3.1,3.8,2.4
0,25,3.25,2,2.8,2.4,2.444444444,3.375,4.2,4.9,-0.7,3.555555556,3.6,3.5
0,44,3,3,2.2,3,2.333333333,4.5,5.3,5.1,0.2,1.6,1.8,1.4
0,39,2.75,2.6,1.6,2.8,2,2.625,4.9,6.05,-1.15,3.2,3.2,3.2
0,44,2.5,3,3,2.6,2.888888889,1,6.1,5.6,0.5,2.4,2.6,2.2
0,38,3.25,2.8,1.8,3.8,2.111111111,3.571428571,4.9,5.15,-0.25,2.7,3,2.4
0,40,2.5,3.2,3,2.4,3.111111111,3.75,4.473684211,4.947368421,-0.473684211,1.8,1.8,1.8
0,41,4,2.8,4,3.8,3.333333333,3.5,4.9,6,-1.1,3.3,3.2,3.4
0,41,1.25,1,1.2,2,1.111111111,3.75,4.3,5.2,-0.9,2.8,3.6,2
0,47,4.5,3.6,4,4.2,3.777777778,4.75,5.2,5.1,0.1,2,1.8,2.2
0,28,2,2,2,1.8,2,1.5,5,6.1,-1.1,3.4,4.2,2.6
0,40,2,2,1.4,2,1.444444444,2.5,3.75,5.3,-1.55,2.9,3.2,2.6
0,32,4.25,3.2,4.6,3.6,3.777777778,3.5,4.75,5.7,-0.95,1.5,1.6,1.4
0,35,1.5,1,2,1.75,1.833333333,2.25,5.45,5.3,0.15,1,1,1
0,33,2.25,1.4,2,2.2,1.666666667,4.375,3.4,5.15,-1.75,2.3,2.4,2.2
0,49,2.5,2.2,3.2,3.2,2.555555556,3,4.45,5.45,-1,1.4,1.6,1.2
0,45,4,2.8,3.2,3.6,2.888888889,2.375,5.65,4.9,0.75,2.8,3.2,2.4
0,49,2.75,2.8,3.6,3.2,3.111111111,4.25,4.95,5.25,-0.3,1.6,1.6,1.6
0,36,2,2,3.4,3,2.666666667,3.875,5.315789474,5.736842105,-0.421052632,4.4,4.6,4.2
0,39,2.5,3.2,2,2.8,2.444444444,3,4.8,5.1,-0.3,2.9,3.2,2.6
0,44,3.75,3.2,3.8,3.8,3.444444444,2.625,4.4,5,-0.6,2.3,2.4,2.2
0,44,3.75,3.4,3.4,3.6,3.333333333,3.625,5.35,5.75,-0.4,3.1,3.8,2.4
0,39,3.25,2,2.4,2.8,2.222222222,2.857142857,4.1,5,-0.9,2.2,2.2,2.2
0,35,4,3.4,4,3.8,3.666666667,4.375,5.7,5.7,0,2.8,3.2,2.4
0,33,5,3.4,4,4.2,3.666666667,7,5.65,6.1,-0.45,2.3,2.6,2
0,35,2,2.2,2,2.2,2,3.875,4.55,5.2,-0.65,3,3,3
0,38,3.5,3,3,3.4,3,4,4.2,5.2,-1,3.1,3.4,2.8
